code;description;default_value;dictionary_id
C_SYSTEM-D_FA.fa-star-half;fa-star-half css class;fa-star-half;3
C_SYSTEM-D_FA.fa-star-half-empty;fa-star-half-empty css class;fa-star-half-empty;3
C_SYSTEM-D_FA.fa-star-half-full;fa-star-half-full css class;fa-star-half-full;3
C_SYSTEM-D_FA.fa-star-half-o;fa-star-half-o css class;fa-star-half-o;3
C_SYSTEM-D_FA.fa-star-o;fa-star-o css class;fa-star-o;3
C_SYSTEM-D_FA.fa-subscript;fa-subscript css class;fa-subscript;3
C_SYSTEM-D_FA.fa-suitcase;fa-suitcase css class;fa-suitcase;3
C_SYSTEM-D_FA.fa-sun-o;fa-sun-o css class;fa-sun-o;3
C_SYSTEM-D_FA.fa-superscript;fa-superscript css class;fa-superscript;3
C_SYSTEM-D_FA.fa-tablet;fa-tablet css class;fa-tablet;3
C_SYSTEM-D_FA.fa-tachometer;fa-tachometer css class;fa-tachometer;3
C_SYSTEM-D_FA.fa-tag;fa-tag css class;fa-tag;3
C_SYSTEM-D_FA.fa-tags;fa-tags css class;fa-tags;3
C_SYSTEM-D_FA.fa-tasks;fa-tasks css class;fa-tasks;3
C_SYSTEM-D_FA.fa-terminal;fa-terminal css class;fa-terminal;3
C_SYSTEM-D_FA.fa-thumb-tack;fa-thumb-tack css class;fa-thumb-tack;3
C_SYSTEM-D_FA.fa-thumbs-down;fa-thumbs-down css class;fa-thumbs-down;3
C_SYSTEM-D_FA.fa-thumbs-o-down;fa-thumbs-o-down css class;fa-thumbs-o-down;3
C_SYSTEM-D_FA.fa-thumbs-o-up;fa-thumbs-o-up css class;fa-thumbs-o-up;3
C_SYSTEM-D_FA.fa-thumbs-up;fa-thumbs-up css class;fa-thumbs-up;3
C_SYSTEM-D_FA.fa-ticket;fa-ticket css class;fa-ticket;3
C_SYSTEM-D_FA.fa-times;fa-times css class;fa-times;3
C_SYSTEM-D_FA.fa-times-circle;fa-times-circle css class;fa-times-circle;3
C_SYSTEM-D_FA.fa-times-circle-o;fa-times-circle-o css class;fa-times-circle-o;3
C_SYSTEM-D_FA.fa-tint;fa-tint css class;fa-tint;3
C_SYSTEM-D_FA.fa-toggle-down;fa-toggle-down css class;fa-toggle-down;3
C_SYSTEM-D_FA.fa-toggle-left;fa-toggle-left css class;fa-toggle-left;3
C_SYSTEM-D_FA.fa-toggle-right;fa-toggle-right css class;fa-toggle-right;3
C_SYSTEM-D_FA.fa-toggle-up;fa-toggle-up css class;fa-toggle-up;3
C_SYSTEM-D_FA.fa-trash-o;fa-trash-o css class;fa-trash-o;3
C_SYSTEM-D_FA.fa-trophy;fa-trophy css class;fa-trophy;3
C_SYSTEM-D_FA.fa-truck;fa-truck css class;fa-truck;3
C_SYSTEM-D_FA.fa-umbrella;fa-umbrella css class;fa-umbrella;3
C_SYSTEM-D_FA.fa-unlock;fa-unlock css class;fa-unlock;3
C_SYSTEM-D_FA.fa-unlock-alt;fa-unlock-alt css class;fa-unlock-alt;3
C_SYSTEM-D_FA.fa-unsorted;fa-unsorted css class;fa-unsorted;3
C_SYSTEM-D_FA.fa-upload;fa-upload css class;fa-upload;3
C_SYSTEM-D_FA.fa-user;fa-user css class;fa-user;3
C_SYSTEM-D_FA.fa-users;fa-users css class;fa-users;3
C_SYSTEM-D_FA.fa-video-camera;fa-video-camera css class;fa-video-camera;3
C_SYSTEM-D_FA.fa-volume-down;fa-volume-down css class;fa-volume-down;3
C_SYSTEM-D_FA.fa-volume-off;fa-volume-off css class;fa-volume-off;3
C_SYSTEM-D_FA.fa-volume-up;fa-volume-up css class;fa-volume-up;3
C_SYSTEM-D_FA.fa-warning;fa-warning css class;fa-warning;3
C_SYSTEM-D_FA.fa-wheelchair;fa-wheelchair css class;fa-wheelchair;3
C_SYSTEM-D_FA.fa-wrench;fa-wrench css class;fa-wrench;3
C_SYSTEM-D_FA.fa-check-square;fa-check-square css class;fa-check-square;3
C_SYSTEM-D_FA.fa-check-square-o;fa-check-square-o css class;fa-check-square-o;3
C_SYSTEM-D_FA.fa-circle;fa-circle css class;fa-circle;3
C_SYSTEM-D_FA.fa-circle-o;fa-circle-o css class;fa-circle-o;3
C_SYSTEM-D_FA.fa-dot-circle-o;fa-dot-circle-o css class;fa-dot-circle-o;3
C_SYSTEM-D_FA.fa-minus-square;fa-minus-square css class;fa-minus-square;3
C_SYSTEM-D_FA.fa-minus-square-o;fa-minus-square-o css class;fa-minus-square-o;3
C_SYSTEM-D_FA.fa-plus-square;fa-plus-square css class;fa-plus-square;3
C_SYSTEM-D_FA.fa-plus-square-o;fa-plus-square-o css class;fa-plus-square-o;3
C_SYSTEM-D_FA.fa-square;fa-square css class;fa-square;3
C_SYSTEM-D_FA.fa-square-o;fa-square-o css class;fa-square-o;3
C_SYSTEM-D_FA.fa-bitcoin;fa-bitcoin css class;fa-bitcoin;3
C_SYSTEM-D_FA.fa-btc;fa-btc css class;fa-btc;3
C_SYSTEM-D_FA.fa-cny;fa-cny css class;fa-cny;3
C_SYSTEM-D_FA.fa-dollar;fa-dollar css class;fa-dollar;3
C_SYSTEM-D_FA.fa-eur;fa-eur css class;fa-eur;3
C_SYSTEM-D_FA.fa-euro;fa-euro css class;fa-euro;3
C_SYSTEM-D_FA.fa-gbp;fa-gbp css class;fa-gbp;3
C_SYSTEM-D_FA.fa-inr;fa-inr css class;fa-inr;3
C_SYSTEM-D_FA.fa-jpy;fa-jpy css class;fa-jpy;3
