id;code;description;default_value
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-certificate;fa-certificate css class;fa-certificate
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-check;fa-check css class;fa-check
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-check-circle;fa-check-circle css class;fa-check-circle
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-check-circle-o;fa-check-circle-o css class;fa-check-circle-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-check-square;fa-check-square css class;fa-check-square
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-check-square-o;fa-check-square-o css class;fa-check-square-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-circle;fa-circle css class;fa-circle
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-circle-o;fa-circle-o css class;fa-circle-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-clock-o;fa-clock-o css class;fa-clock-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cloud;fa-cloud css class;fa-cloud
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cloud-download;fa-cloud-download css class;fa-cloud-download
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cloud-upload;fa-cloud-upload css class;fa-cloud-upload
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-code;fa-code css class;fa-code
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-code-fork;fa-code-fork css class;fa-code-fork
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-coffee;fa-coffee css class;fa-coffee
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cog;fa-cog css class;fa-cog
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cogs;fa-cogs css class;fa-cogs
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-comment;fa-comment css class;fa-comment
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-comment-o;fa-comment-o css class;fa-comment-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-comments;fa-comments css class;fa-comments
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-comments-o;fa-comments-o css class;fa-comments-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-compass;fa-compass css class;fa-compass
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-credit-card;fa-credit-card css class;fa-credit-card
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-crop;fa-crop css class;fa-crop
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-crosshairs;fa-crosshairs css class;fa-crosshairs
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cutlery;fa-cutlery css class;fa-cutlery
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-dashboard;fa-dashboard css class;fa-dashboard
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-desktop;fa-desktop css class;fa-desktop
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-dot-circle-o;fa-dot-circle-o css class;fa-dot-circle-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-download;fa-download css class;fa-download
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-edit;fa-edit css class;fa-edit
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-ellipsis-h;fa-ellipsis-h css class;fa-ellipsis-h
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-ellipsis-v;fa-ellipsis-v css class;fa-ellipsis-v
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-envelope;fa-envelope css class;fa-envelope
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-envelope-o;fa-envelope-o css class;fa-envelope-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-eraser;fa-eraser css class;fa-eraser
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-exchange;fa-exchange css class;fa-exchange
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-exclamation;fa-exclamation css class;fa-exclamation
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-exclamation-circle;fa-exclamation-circle css class;fa-exclamation-circle
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-exclamation-triangle;fa-exclamation-triangle css class;fa-exclamation-triangle
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-external-link;fa-external-link css class;fa-external-link
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-external-link-square;fa-external-link-square css class;fa-external-link-square
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-eye;fa-eye css class;fa-eye
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-eye-slash;fa-eye-slash css class;fa-eye-slash
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-female;fa-female css class;fa-female
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-fighter-jet;fa-fighter-jet css class;fa-fighter-jet
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-film;fa-film css class;fa-film
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-filter;fa-filter css class;fa-filter
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-fire;fa-fire css class;fa-fire
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-fire-extinguisher;fa-fire-extinguisher css class;fa-fire-extinguisher
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-flag;fa-flag css class;fa-flag
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-flag-checkered;fa-flag-checkered css class;fa-flag-checkered
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-flag-o;fa-flag-o css class;fa-flag-o
